abaza	value
ГIвнажьра (2)	ГIвна-[жь]-ра\nперех.\nоставлять кого, что-л. в доме\nАтдзыжв хIгIагIвналыжьуанта (хI-гIа-а-гIвна-лы-жь-уан-та) ащажь апхъа аферма дыгIвуан. Адгьыл, 153. Она нас оставляла в старом доме и до рассвета уходила на ферму.\nПРЕВЕРБЫ+СУФФИКСОИД жь\nКлычев, с. page\n12
Аджьылра	А-д-[жьы]-лра\nперех.\nоставлять кого, что-л. рядом с кем-то, чем-то\nАджв-гIвыджь арахв й-гIа-р-ы-д-и-жьы-л-уан. Адгьыл, 8. Он одного двух оставлял со скотом (рядом).\nПРЕВЕРБЫ+СУФФИКСОИД жь\nКлычев, с. page\n13
Джвыквыжьра	Джвы-квы-[жь]-ра\nперех.\nотправлять туда\nАпхIвыс бзи лхъацIа хьадъа д-гь-джвы-квы-л-жь-уа-м. АПА, 50. Хорошая женщина не отправляет своего мужа без провизии.\nПРЕВЕРБЫ+СУФФИКСОИД жь\nКлычев, с. page\n14
Адзхъажьра	А-дз-хъа-[жь]-ра\nперех.\nоставлять кого, что-л. рядом с кем, чем-л.\nЙрымаз зымгIва гIасыдзхъаржьын (й-гIа-с-ы-дз-хъа-р-жьы-н) йджвыквылхтI. Аб. Т. Они ушли (отправились), оставив со мной все, что было у них.\nПРЕВЕРБЫ+СУФФИКСОИД жь\nКлычев, с. page\n15
Аквыжьра (1)	А-квы-[жь]-ра\nперех.\nпустить кого, что-л. по поверхности чего-то\nУара с-ы-з-кв-у-жьы-з амгва цIхъва гьамчпастI. Атахв, 34. Дорога, по которой ты меня пустил, еще не имеет конца.\nПРЕВЕРБЫ+СУФФИКСОИД жь\nКлычев, с. page\n16
Аквыжьра (2)	А-квы-[жь]-ра\nперех.\nоставлять кого, что-л. на чем- то\nАгIвычIвгIвыс аурам дгIаквыжь (д-гIа-а-квы-жь) йгьауашым. Скыт, 159. Человека нельзя оставлять на улице.\nПРЕВЕРБЫ+СУФФИКСОИД жь\nКлычев, с. page\n17
АквацIажьра	А-ква-цIа-[жь]-ра\nперех.\nотправлять кого-л. побродить\nАчкIын сара дстахъыпI, дара д-а-ква-цIа-ры-жь-тI. Аб. Т. Парень мне нужен, а они его отправили гулять.\nПРЕВЕРБЫ+СУФФИКСОИД жь\nКлычев, с. page\n18
КIажьра	КIа-[жь]-ра\nперех.\nвалить, повалить кого, что-л. вниз\nАнахьани атшыгIв дгIахысын Идрис д-гIа-кIа-йы-жь-тI. Нышв, 153. Тот всадник выстрелил и повалил Идриса.\nПРЕВЕРБЫ+СУФФИКСОИД жь\nКлычев, с. page\n19
КIыджьылра	КIы-д-[жьы]-лра\nперех.\nпустить кого-л. на косогор\nАхIвараква акIадза й-кIы-ды-р-жьы-л-тI. Аб. Т. Они телят отпустили на косогор.\nПРЕВЕРБЫ+СУФФИКСОИД жь\nКлычев, с. page\n20
КIылажьра	КIы-ла-[жь]-ра\nперех.\nпустить кого, что-л. в отверстие, в полое место\nАхвымбырцIакIьаква ащхаква амартан дгьынхIара й-гь-кIы-ла-р-мы-жь-х-уазтI. Аб, Т. Муравьи не пускали пчел в отверстие.\nПРЕВЕРБЫ+СУФФИКСОИД жь\nКлычев, с. page\n21
КIныжьра	КI-ны-[жь]-ра\nперех.\nспустить кого, что-л. вниз\nАчвымла аннырхх аркъанла д-кI-ны-р-жь-х-тI. Аб. Т. Когда убрали лестницу, его спустили вниз на веревке.\nПРЕВЕРБЫ+СУФФИКСОИД жь\nКлычев, с. page\n22
Ак!важьра	А-кIва-[жь]-ра\nперех.\nкласть пазухой к пазухе\nАпси абзи акIвалжьитI (й-а-кIва-л-жь-итI). Посл. Она мертвого с живым кладет в одну постель (пазухой к пазухе). О проходимце.\nПРЕВЕРБЫ+СУФФИКСОИД жь\nКлычев, с. page\n23
Алажьра	А-ла-[жь]-ра\nперех.\nпустить. отправить кого, что-л. в однородную массу\nАчв анажвра ахIвара й-р-ы-ла-жь-х. АПА, 71. Когда вол состарится, отправь его в телячий гурт (в их массу).\nПРЕВЕРБЫ+СУФФИКСОИД жь\nКлычев, с. page\n24
Амгважьра	А-мгва-[жь]-ра\nперех.\nпустить кого, что-л. внутрь (в живот) чего-н.\nАчваква дрымгвалуашын — д-гь-р-ы- мгва-р-мы-жь-тI. Аб. Т. Он хотел завернуться в шкурках— его не пустили (они его завернуться в них не пустили).\nПРЕВЕРБЫ+СУФФИКСОИД жь\nКлычев, с. page\n25
АмцIажьра	А-мцIа-[жь]-ра\nперех.\nпустить кого, что-л. перед кем, чем-н.\nАсаби дылбжьан д-ры-мцIа-лы-жь-лI. Аб. Т. Она уговорила ребенка подойти к ним (она его пустила перед ними).\nПРЕВЕРБЫ+СУФФИКСОИД жь\nКлычев, с. page\n26
МыгIвхъыжьра	МыгIв-хъы-[жь]-ра\nперех.\nсводить кого-л. с пути\nЙыдрымгалта йаъайа — д-мыгIв-хъы-р-жь-тI. Аб. Т. Чего только с ним не проделали — они сго свели с пути.\nПРЕВЕРБЫ+СУФФИКСОИД жь\nКлычев, с. page\n27
Нажьылра	На-[жьы]-лра\nперех.\nпустить кого-л. в помещение (в сторону от говорящего)\nЧквын хвыцкI д-на-й-жьы-л-тI. Т. Б., Амара, 31. Он пустил в помещение мальчика.\nПРЕВЕРБЫ+СУФФИКСОИД жь\nКлычев, с. page\n28
Нкъвыжьра	Нкъвы-[жь]-ра\nперех.\nпосылать, заставлять ходить кого, что-л.\nАри аъара б-ы-нкъвы-р-жь-итI. Ком, 29.Х1.1986, П. Они тебя заставляют столько ходить. ШахIым й-нкъв-и-жь-тI йшыдзадза. Абазашта № 1, 54. Шахим привел в движение свои челюсти (заставил их ходить).\nПРЕВЕРБЫ+СУФФИКСОИД жь\nКлычев, с. page\n29
(ГIа)ныжьра	(ГIа)-ны-[жь]-ра\nперех.\nоставлять кого, что-л.\nУ-ны-з-жь-итI са йатаркIвах, с-Абазашта. Азпира, 28. Я снова покидаю (оставляю) тебя, моя Абазашта. Толистан хвыцгьи атажв д-л-ы-з-гIа-ны-гIы-жь-тI. Нышв, 216. Маленького Толистана мы оставили старухе.\nПРЕВЕРБЫ+СУФФИКСОИД жь\nКлычев, с. page\n30
НапIыпцIажьра	НапIы-пцIа-[жь]-ра\nперех.\nпустить кого, что-л. в руки\nАгIвпхIвысчва  хвгIвысабичва гIарнапIыцIажьта (й-гIа-р. напIы-цIажь-та) йгьсзгIанымыжьтI Нышв, 150. Я не мог покинуть двух женщин с пятью детьми (оставляя в их руках детей).\nПРЕВЕРБЫ+СУФФИКСОИД жь\nКлычев, с. page\n31
ПшцIажьра	ПшцIа-[жь]-ра\nперех.\nпустить кого, что-л. во двор\nАсас зджьара д-пшцIа-р-мы-жь-уа-та йуысква ахъвда- хъвырщттI. Аб. Т. Гостя ни в чем не утруждая (не пуская сго ни в какой двор), они выполнили всё его дела.\nПРЕВЕРБЫ+СУФФИКСОИД жь\nКлычев, с. page\n32
ПшIажьра	П-шIа-[жь]-ра\nперех.\nпослать кого-л. навстречу кому-то. чему-то\nАхвыцква ачвагъвачва й-р-п-шIа-гIы-жь-тI, Аб. Т. Мы детей послали навстречу пахарям.\nПРЕВЕРБЫ+СУФФИКСОИД жь\nКлычев, с. page\n33
Пыражьра	Пыра-[жь]-ра\nперех.\nпослать кого, что-л. навстречу кому-то, чему-то\nАхIмад ауахь даъапI, йпыражвжьуашда (й-й-пыра-жв-жь-уаш-да) ауи? Нышв, 216. Ахмад находится там, кого вы пошлете навстречу ему?\nПРЕВЕРБЫ+СУФФИКСОИД жь\nКлычев, с. page\n34
ПыцIажьра	Пы-цIа-[жь]-ра\nперех.\nсвалить кого, что-л. спереди\nАцIлаква пыцIарыжьтI (й-пы- цIа-ры-жь-тI). Аб. Т. Они свалили деревья (спереди).\nПРЕВЕРБЫ+СУФФИКСОИД жь\nКлычев, с. page\n35
(ГIа)тажьра	(ГIа)-та-[жь]-ра\nперех.\nоставлять остаток чего-то; загонять кого, что-л. туда\nАтамщакь кIара гIатаужьырквын (й-гIа-а-та-у-жьы-р-квын) унасып гIатахитI. АПА, 56. Если ты в тарелке оставишь недоеденную пищу, оставишь свое счастье. МухIаджьыр ажьайдза акIвар йгIатайжьын (й-гIа-а-та-й-жьы-н) дхъалхтI. А. тш., 29. Мухаджир выбрался из ущелья, оставив в нем сырое мясо.\nПРЕВЕРБЫ+СУФФИКСОИД жь\nКлычев, с. page\n36
ТшгIважьра	ТшгIва-[жь]-ра\nперех.\nоставлять кого, что-л. у очага\nАуахъ амажвадза атшгIва й-гIа-тшгIва-лы-жь-тI. Аб. Т. Женщина на ночь тесто оставила у очага.\nПРЕВЕРБЫ+СУФФИКСОИД жь\nКлычев, с. page\n37
ТшкIаражьра (1)	ТшкIара-[жь]-ра\nперех.\nвпустить кого, что-л, во двор\nАхIвараква акIьадыгв й-тшкIара-жв-жь-х. Аб. Т. Телят впустите во двор.\nПРЕВЕРБЫ+СУФФИКСОИД жь\nКлычев, с. page\n38
ТшкIаражьра (2)	ТшкIара-[жь]-ра\nперех.\nоставлять кого, что-л. во дворе\nСымлыкв гIагварга, ауаса анамыс тIакIв сызгIатшкIаражь (й-с-ы-з-гIа-тшкIа-ра-жь). Нышв. 237. Вы заберите мое богатство, но оставьте в моем дворе честь (почет).\nПРЕВЕРБЫ+СУФФИКСОИД жь\nКлычев, с. page\n39
Тшпныжьра (1)	Тш-п-ны-[жь]-ра\nперех.\nпогнать кого, что-л. (к берегу или огню)\nАхIвараква адзы й-а-тш-п-ны-р-жьы-н дара хъвмаритI. Аб. Т. Погнав телят к берегу, они играют.\nПРЕВЕРБЫ+СУФФИКСОИД жь\nКлычев, с. page\n40
Тшпныжьра (2)	Тш-п-ны-[жь]-ра\nперех.\nоставить кого, что-л. (на берегу или у огня)\nЙрымазгьи агвал й-а-тш-п-ны-р-жьы-н рхъа джвыквыргахтI. Аб. Т. Они на берегу озера оставили все, что имели, и сами отправились.\nПРЕВЕРБЫ+СУФФИКСОИД жь\nКлычев, с. page\n41
АуацIажьра (1)	А-уацIа-[жь]-ра\nперех.\nотправить кого, что-л. в населенный пункт (побродить)\nАчкIвын акыт д-а-уацIа-р-жьы-н йызпшыхитI. Аб, Т. Они отправили парня в деревню (побродить), а теперь ждут его.\nПРЕВЕРБЫ+СУФФИКСОИД жь\nКлычев, с. page\n42
АуацIажьра (2)	А-уацIа-[жь]-ра\nперех.\nоставить кого, что-л. внутри чего-л.\nАкъамчы ауапIа йгIауацIайыжьтI  (й-гIа-а-уацIа- йы-жь-тI). Аб. Т. Он плетку оставил в бурке (внутри бурки).\nПРЕВЕРБЫ+СУФФИКСОИД жь\nКлычев, с. page\n43
Ахъажьра	А-хъа-[жь]-ра\nперех.\nпустить кого, что-л. на кого-то, что-то\nЙкIайпсауа йыхъва пхата у-гь-а-хъа-й-жь-уа-шы-м. АПА, 96. Он не подпустит к своей золе, которую выбрасывает, если она еще теплая.\nПРЕВЕРБЫ+СУФФИКСОИД жь\nКлычев, с. page\n44
Хътажьра	Хъ-та-[жь]-ра\nперех.\nнаводить что-л. на кого-то, что-то\nИалхIвыз гьйымгвапхатI, агвыжвкIра гIайхъталыжьтI (й-гIа-й-хъ-та-лы-жь-тI), Аб. 1. Ему не понравилось то, что она сказала; она на него навела злобу.\nПРЕВЕРБЫ+СУФФИКСОИД жь\nКлычев, с. page\n45
Хъыжьра	Хъы-[жь]-ра\nперех.\nпустить кого, что-л. на плаву (над водой, облаками)\nАкъазква гIатшкIарылщтын адзы йхъылжьтI (й-й-хъы-л-жь-тI). Аб. Т. Она выпустила со двора гуcей и пустила их в воду (на плаву).\nПРЕВЕРБЫ+СУФФИКСОИД жь\nКлычев, с. page\n46
(ГIа)хъвыжьра	(ГIа)-хъвы-[жь]-ра\nперех.\nоставить что-л. (в висячем положении) над чем-то\nАчуан атшгIва йгIахъвыржьын (й-гIа-а-хъвы-р-жьы-н) йырхъаштылхтI. Аб. Т. Они чан оставили над очагом (в висячем положении) и забыли про него.\nПРЕВЕРБЫ+СУФФИКСОИД жь\nКлычев, с. page\n47
Ацыжьра	А-цы-[жь]-ра\nперех.\nпустить кого, что-л. вместе с кем-то, чем-то\nАчкIвын ачвахчва д-р-ы-ц-ры-жь-тI. Аб. Т. Парня они пустили вместе с косарями.\nПРЕВЕРБЫ+СУФФИКСОИД жь\nКлычев, с. page\n48
ЦкIлажьра	Ц-кI-ла-[жь]-ра\nперех.\nзаставить приступить к кому, чему-л. (сзади)\nАуыгьи арцIыгъьта д-шв-ы-ц-кI-ла-ры-жь- х-тI. Аб. Т. И его, как клещ, приставили к вам (сзади).\nПРЕВЕРБЫ+СУФФИКСОИД жь\nКлычев, с. page\n49
АцIажьра	А-цIа-[жь]-ра\nперех.\nпустить кого, что-л. под что-то\nЙаншуарахарыз ауасаква ахIатшпква й-р-ы-цIа-гIы-жь-уан. Ашта, 80. Когда становилось жарко, овец мы пускали в пещеры.\nПРЕВЕРБЫ+СУФФИКСОИД жь\nКлычев, с. page\n50
(ГIа)цIажьра	(ГIа)-цIа-[жь]-ра\nперех.\nпредставлять себе (пустить что-то в глаз)\nШвыла йгIацIажвжь (й-гIа-а-цIа-жв-жь) йшвызгIацIажьуазтын (й-шв-ы-з-гIа-а-цIа-жь-уа-зтын) швыла. А, тш., 43. Представьте себе то, если вы в состоянии то представить себе (пустить себе в глаз).\nПРЕВЕРБЫ+СУФФИКСОИД жь\nКлычев, с. page\n51
Чвыжьра	Чвы-[жь]-ра\nперех.\nоставлять (вещи, не снимая их)\nАджвджвахьаква ауахъ йгIачвылыжьтI  (й-гIа-а-чвы-лы- жь-тI). Аб. Т. Стиранные вещи она оставила на ночь (не снимая).\nПРЕВЕРБЫ+СУФФИКСОИД жь\nКлычев, с. page\n52
Швыжьра	Швы-[жь]-ра\nперех.\nоставить (обувь, одежду, не снимая)\nЙамгIаква гIайшвыржьтI. Аб. Т. Они оставили ему обувь (не снимая ее с ноги).\nПРЕВЕРБЫ+СУФФИКСОИД жь\nКлычев, с. page\n53a
Щыжьра	Щы-[жь]-ра\nперех.\nоставить (обувь, одежду, не снимая)\nЙамгIаква й-гIа-й-щы-р-жь-тI. Аб. Т. Они оставили ему обувь (не снимая ее с ноги).\nПРЕВЕРБЫ+СУФФИКСОИД жь\nКлычев, с. page\n53b
АшIажьра (1)	А-шIа-[жь]-ра\nперех.\nпустить кого, что-л. на косогор\nАхIвараква агьаба й-а-шIа-лы-жь-тI. Аб. Т. Она телят выпустила на косогор.\nПРЕВЕРБЫ+СУФФИКСОИД жь\nКлычев, с. page\n54
(ГIа)шIажьра	(ГIа)-шIа-[жь]-ра\nперех.\nоставлять кого, что-л. на косогоре\nАхIвараква агьаба йгIашIарыжьтI (й-гIа-а-шIа-ры-жь-тI). Аб. Т. Телят они оставили на косогоре.\nПРЕВЕРБЫ+СУФФИКСОИД жь\nКлычев, с. page\n55
АшIажьра (2)	А-шIа-[жь]-ра\nперех.\nпустить что-л. в рот\nАчымазагIв адзы йшIарыжьтI (й-й-шIа-ры-жь-тI). Аб. Т. Больному дали воды (пустили воду в рот).\nПРЕВЕРБЫ+СУФФИКСОИД жь\nКлычев, с. page\n56
ШIыцIажьра	ШIы-цIа-[жь]-ра\nперех.\nповалить кого, что-л. (беспорядочно)\nАцIлаква шIыцIарыжьтI (й-шIы-цIа-ры-жь-тI). Аб. Т, Они повалили деревья (беспорядочно).\nПРЕВЕРБЫ+СУФФИКСОИД жь\nКлычев, с. page\n57
Щаквыжьра	Ща-квы-[жь]-ра\nперех.\nспасти кого, что-л. (оставить на ногах)\nЗаудин с-гIа-ща-кв-и-жь-тI. Скыт, 164. Заудин меня спас. ЙынцIра гIащаквырыжьтI (й-гIа-ща-квы-ры- жь-т1). Они ему сохранили жизнь.\nПРЕВЕРБЫ+СУФФИКСОИД жь\nКлычев, с. page\n58
Щтажьра	Щта-[жь]-ра\nперех.\nотправить кого, что-л. вслед за кем-то, чем-то\nАчвгьахачва й-р-ы-щта-ры-жь-тI. Т. Т. Они устроили погоню за разбойниками (они их отправили за ними).\nПРЕВЕРБЫ+СУФФИКСОИД жь\nКлычев, с. page\n59
Щтанкъвыжьра	Щта-нкъвы-[жь]-ра\nперех.\nходить друг к другу, посещать друг друга\nАбызква зныкI агвлачва гьащтанкъвырмыжьуазтI (й-гь-а-щта-нкъвы-р-мы-жь-уа-зтI). Аб. Т: Когда-то злые языки не допускали, чтобы соседи ходили друг к другу.\nПРЕВЕРБЫ+СУФФИКСОИД жь\nКлычев, с. page\n60
ЩтIажьра	ЩтIа-[жь]-ра\nперех.\nукладывать кого-л. (в постель)\nСдерсква сымчпакIва с-гь-щтIа-й-мы-жь-х-уа-шы-зтI. Афырква, 14. Он мне не разрешит лечь, пока я не сделаю уроков.\nПРЕВЕРБЫ+СУФФИКСОИД жь\nКлычев, с. page\n61
Бгъалра	Бгъа-[л]-ра\nнеперех.\nспуститься (с горы, возвышения)\nАгъьал шкIвокIва й-гIа-бгъа-л-итI атшан хIвыча. Сгвы, 42. Табун лошадей спускается с белой горы.\nПРЕВЕРБЫ+СУФФИКСОИД л\nКлычев, с. page\n62
Бжьалра	Бжьа-[л]-ра\nнеперех.\nвойти, направиться между кем, чем-л.\nМышкIы аурам с-бжьа-л-тI. Садтьыл, 147. Однажды я направился на улицу (между оградами, домами). АгIвыджь сы-р-бжьа-л-тI. Афырква, 7. Я вошел между ними.\nПРЕВЕРБЫ+СУФФИКСОИД л\nКлычев, с. page\n63
Гаралра	Гара-[л]-ра\nнеперех.\nвлезть, взбираться в люльку\nАсаби йчварта д-гара-л-х-уан. Аб. Т. Ребенок влезал в свою постель (люльку).\nПРЕВЕРБЫ+СУФФИКСОИД л\nКлычев, с. page\n64
Гваралра	Гвара-[л]-ра\nнеперех.\nзайти, войти во двор\nКъомыгIвкI хIпны й-гвара-л-итI. АчкIвын, 5. К нам во двор входят несколько человек. ХIы-з-гвара-лы-з апшцIа гьдучвам. Нышв, 327. Двор, в который мы вошли, небольшой.\nПРЕВЕРБЫ+СУФФИКСОИД л\nКлычев, с. page\n65
Гвыквылра	Гвы-квы-[л]-ра\nнеперех.\nнаброситься, навалиться на кого-л.\nПырас рымамкIва ахъвыцраква гIасгвыквылтI (й-гIа-с-гвы-квы-л-тI). Ч. М., Скыт, 45. Размышления, не имея преград, навалились на меня.\nПРЕВЕРБЫ+СУФФИКСОИД л\nКлычев, с. page\n66
Гвылалра	Гвы-ла-[л]-ра\nнеперех.\nвонзиться, войти в кого, что-л.\nЙауищтыз асагIындакъ амшв й-а-гвы-ла-лтI, Аб. Т. Стрела, которую он выпустил, вонзилась в медведя.\nПРЕВЕРБЫ+СУФФИКСОИД л\nКлычев, с. page\n67
Гъралра	Гъра-[л]-ра\nнеперех.\nвонзиться, проникнуть во внутрь\nАхъвынчIвы ачва й-а-гъра-л-тI. АРС, 142. Вилы вонзились в сено (внутрь).\nПРЕВЕРБЫ+СУФФИКСОИД л\nКлычев, с. page\n68
ГIвналра	ГIвна-[л]-ра\nнеперех.\nвойти, входить в дом (помещение)\nАгIвпещкIгьи ауи аъара йтшванта гIвыджь-хгIвы гIвналырквныз (й-гIвна-лы-р-квы-ны-з) чIвартагьи гылартагьи гьумаухуазтI. Джьандра, 167. Если в комнаты войдут два-три человека, то им негде стать и сесть — настолько тесны обе комнаты.\nПРЕВЕРБЫ+СУФФИКСОИД л\nКлычев, с. page\n69
Адылра	А-ды-[л]-ра\nнеперех.\nложиться, лечь к кому, чему-л.\nАхьта уагузтын чвахIаджв у-а-ды-л. Ком., 14.Х.1965. Если ты замерзаешь, ложись (ляг) к скирде сена.\nПРЕВЕРБЫ+СУФФИКСОИД л\nКлычев, с. page\n70
Джвыквылра (1)	Джвы-квы-[л]-ра\nнеперех.\nотправиться туда( из дома, со двора, стана и т. д.)\nМшкIыла у-джвы-квы-л-уа-зтын хымш быгIвнифа уыцджвыквга. АЦА, 112, Если ты отправляешься на день, бери с собой провизию на три дня.\nПРЕВЕРБЫ+СУФФИКСОИД л\nКлычев, с. page\n71
Джвыквылра (2)	Джвы-квы-[л]-ра\nнеперех.\nначинать что-л.\nАраса амшыркъвара джвыквылтI (й-джвы-квы-л-тI). Т. Б. Амара, 57. Так началась шутка.\nПРЕВЕРБЫ+СУФФИКСОИД л\nКлычев, с. page\n72
Адзхъалра	А-дз-хъа-[л]-ра\nнеперех.\nрасположиться, лечь около кого, чего-л.\nАлыгажв амца д-а-дз-хъа-лы-н йтурых гIаджныквицIатI. Ком., 11.Х.2966. Старик расположился (лег) у огня и начал свой рассказ.\nПРЕВЕРБЫ+СУФФИКСОИД л\nКлычев, с. page\n73
Ажвылра	А-жвы-[л]-ра\nнеперех.\nнаброситься на кого, что-л.\nКIыгIа мыгIва йыжвлын (й-йы-жв-лы-н) дахъвырчIвтI. Абаза т. 157. Они набросились на бедного Кыту и уничтожили его.\nПРЕВЕРБЫ+СУФФИКСОИД л\nКлычев, с. page\n74
Азалра (1)	А-за-[л]-ра\nнеперех.\nупасть во что-л.\nМардасгьи пыквчи д-а-за-л-тI ахIвынчIв цIагъа. Т. Б., Амара, 75. И Мардас лицом упал (угодил) в лужу.\nПРЕВЕРБЫ+СУФФИКСОИД л\nКлычев, с. page\n75
Азалра (2)	А-за-[л]-ра\nнеперех.\nбыть в качестве кого, чего-л.\nАчIвацIла, хIара хвду узыхIчпитI, угIай ахIыта у-хI-за-л. Ладу, 104. Яблоня! Мы тебя высоко ценим, будь нашим князем (в качестве князя будь для нас).\nПРЕВЕРБЫ+СУФФИКСОИД л\nКлычев, с. page\n76
КвацIалра	Ква-цIа-[л]-ра\nнеперех.\nотправиться в населенные пункты\nСы-р-ква-цIа-л-пI акытква. Ашахв, 10, Я отправлюсь в деревни.\nПРЕВЕРБЫ+СУФФИКСОИД л\nКлычев, с. page\n77
Аквылра (1)	А-квы-[л]-ра\nнеперех.\nотправляться куда-л.\nЙатаркIвах амгIва с-ы-квы-л-х-итI. Йара, 129. Снова я отправлюсь по дороге.\nПРЕВЕРБЫ+СУФФИКСОИД л\nКлычев, с. page\n78
Аквылра (2)	А-квы-[л]-ра\nнеперех.\nнаклониться, опираться, ложиться, опуститься\nПсайспа д-а-квы-л-тI лыгIвзакI лыжвгIвахъи. Т. Б., Амара, 69. Она медленно легла на плечо товорища\nПРЕВЕРБЫ+СУФФИКСОИД л\nКлычев, с. page\n79
(ГIа)квылра	(ГIа)-квы-[л]-ра\nнеперех.\nпоявиться, родиться\nАшва адуней йгIаквылтI (й-гIа-а-квы-л-тI). Адунейква, 33. Родилась песня (появилась на свет).\nПРЕВЕРБЫ+СУФФИКСОИД л\nКлычев, с. page\n80
КIыдылра	КIы-ды-[л]-ра\nнеперех.\nнаправиться вверх по склону (горы)\nХI-кIы-ды-л-х-тI абна. А. тш., 71. Мы направились в лес (вверх по склону горы).\nПРЕВЕРБЫ+СУФФИКСОИД л\nКлычев, с. page\n81
КIылалра	КIы-ла-[л]-ра\nнеперех.\nзалезать, влезать (в щели)\nЙахIхIвуа йгьазхъайцIум, атдзы кIынхIарата йамаз ды-р-кIы-ла-л-тI. Аб. Т. Он не верит тому, что мы ему говорим; влез во все щели, которые были в доме.\nПРЕВЕРБЫ+СУФФИКСОИД л\nКлычев, с. page\n82
КIнылра	КI-ны-[л]-ра\nнеперех.\nспуститься, скатываться (с горы)\nХIуандыр кIнылуан (й-кI-ны-л-уан) ахъылагъь. Ашахв, о7. Наша повозка скатывалась с горы.\nПРЕВЕРБЫ+СУФФИКСОИД л\nКлычев, с. page\n83
АкIвалра	А-кIва-[л]-ра\nнеперех.\nидти, приблизиться к пазухе\nАсаби йан д-лы-кIва-лы-н дычвитI. Аб. Т. Ребенок спит с матерью (приблизившись к пазухе матери).\nПРЕВЕРБЫ+СУФФИКСОИД л\nКлычев, с. page\n84
Алалра (1)	А-ла-[л]-ра\nнеперех.\nвойти (в однородную массу)\nМцаблырагьи  срычвхIвагьи  с-ры-ла-л-уа-штI  гIврала. Ашахв, 9. Я, не задумываясь (бегом) войду в огонь и пургу.\nПРЕВЕРБЫ+СУФФИКСОИД л\nКлычев, с. page\n85
